model,seed,uncertainty_signal,outcome,n_observations,pooled_spearman,pooled_pvalue,mean_datewise_spearman,median_datewise_spearman,n_dates
FinPFN,42,predictive_std,absolute_cross_sectional_z_error,96859,0.21983537561212846,0.0,0.2186743712698981,0.21934629112304577,242
FinPFN,42,predictive_std,absolute_rank_error,96859,0.10423046397161333,4.4289264785287105e-232,0.10341657888782507,0.10390442180011589,242
FinPFN,42,predictive_std,rank_instability_next,62823,0.10066271851761784,3.682167705999776e-141,0.10059342721443534,0.10196774589137271,241
FinPFN,42,predictive_std,realized_forward_ic_deterioration,242,0.061764804251916036,0.33868140789984136,,,242
TabPFN,42,total_member_sd,absolute_cross_sectional_z_error,96859,0.2203477504218511,0.0,0.21934369557132286,0.2252957666071909,242
TabPFN,42,total_member_sd,absolute_rank_error,96859,0.10763692355103617,1.9085523854546587e-247,0.10936793102262021,0.10774470059244473,242
TabPFN,42,total_member_sd,rank_instability_next,62823,0.09234131334242061,5.233244787999325e-119,0.09381814724132581,0.08987870168318893,241
TabPFN,42,total_member_sd,realized_forward_ic_deterioration,242,-0.1349760651910784,0.035863152813556044,,,242
TabPFN,42,within_group_ensemble_sd,absolute_cross_sectional_z_error,96859,0.28668132892889175,0.0,0.286985277925377,0.2883144627106479,242
TabPFN,42,within_group_ensemble_sd,absolute_rank_error,96859,0.14767967410968683,0.0,0.15046673204392996,0.15103788262508275,242
TabPFN,42,within_group_ensemble_sd,rank_instability_next,62823,0.12868898536633838,3.872602217211751e-230,0.13007549870797072,0.12885244699622708,241
TabPFN,42,within_group_ensemble_sd,realized_forward_ic_deterioration,242,-0.12841648387983107,0.04597546212547571,,,242
TabPFN,42,ensemble_mad,absolute_cross_sectional_z_error,96859,0.2685427033668686,0.0,0.2679375653435165,0.2692526147318272,242
TabPFN,42,ensemble_mad,absolute_rank_error,96859,0.1384693693563018,0.0,0.1403657363034854,0.1423449649980984,242
TabPFN,42,ensemble_mad,rank_instability_next,62823,0.12037651513280298,2.0175912079259597e-201,0.12091766559378204,0.12398290970365897,241
TabPFN,42,ensemble_mad,realized_forward_ic_deterioration,242,-0.07551308381183901,0.24188130606094538,,,242
TabPFN,42,ensemble_iqr,absolute_cross_sectional_z_error,96859,0.27133305659989887,0.0,0.2709675609183526,0.27167117618737047,242
TabPFN,42,ensemble_iqr,absolute_rank_error,96859,0.13937754978513717,0.0,0.14133175845819548,0.1382861813907445,242
TabPFN,42,ensemble_iqr,rank_instability_next,62823,0.12095232425470259,2.39417851553396e-203,0.1219762543688786,0.12479970333753304,241
TabPFN,42,ensemble_iqr,realized_forward_ic_deterioration,242,-0.08793793164470898,0.1727082187582442,,,242
TabPFN,42,member_rank_disagreement,absolute_cross_sectional_z_error,96859,-0.21724463499963648,0.0,-0.2190019892695511,-0.22105101922177245,242
TabPFN,42,member_rank_disagreement,absolute_rank_error,96859,-0.1268556252867911,0.0,-0.12832874121401014,-0.12713935907071072,242
TabPFN,42,member_rank_disagreement,rank_instability_next,62823,-0.12087356181617756,4.3966197051647293e-203,-0.12250955974161996,-0.12133354931459696,241
TabPFN,42,member_rank_disagreement,realized_forward_ic_deterioration,242,-0.025913606072036854,0.6883455644225807,,,242
TabPFN,42,group_composition_sd,absolute_cross_sectional_z_error,96859,-0.0012072370465541341,0.7071297088753826,-0.0016263329937037912,-0.0016452432571560374,242
TabPFN,42,group_composition_sd,absolute_rank_error,96859,-0.005794656157010526,0.07132304750654134,-0.005818717349799252,-0.006302219810268007,242
TabPFN,42,group_composition_sd,rank_instability_next,62823,-0.009125683895650853,0.02217769559538674,-0.00814296045156103,-0.010227755272718733,241
TabPFN,42,group_composition_sd,realized_forward_ic_deterioration,242,-0.08174752258745721,0.20507282356311993,,,242
TabPFN,42,mean_median_disagreement,absolute_cross_sectional_z_error,96859,0.12103773520358699,0.0,0.12977237826696086,0.13045196803802522,242
TabPFN,42,mean_median_disagreement,absolute_rank_error,96859,0.06253380998475927,1.6007796245611614e-84,0.06563055416053629,0.06478378672435306,242
TabPFN,42,mean_median_disagreement,rank_instability_next,62823,0.05849244058544124,9.583657223031784e-49,0.060320310166678395,0.06692780414952648,241
TabPFN,42,mean_median_disagreement,realized_forward_ic_deterioration,242,-0.02308639011769906,0.720846200367184,,,242
TabPFN,42,predictive_interval_width,absolute_cross_sectional_z_error,96859,0.2576147597976442,0.0,0.2537382065974482,0.2568423885460951,242
TabPFN,42,predictive_interval_width,absolute_rank_error,96859,0.11521988816272717,1.824355834673438e-283,0.11626618672822125,0.11924250800701242,242
TabPFN,42,predictive_interval_width,rank_instability_next,62823,0.09367080431783101,2.0398975094370795e-122,0.09347760459477118,0.09544232207027953,241
TabPFN,42,predictive_interval_width,realized_forward_ic_deterioration,242,0.07346570190779923,0.25492012759962135,,,242
TabPFN,42,predictive_std,absolute_cross_sectional_z_error,96859,0.2647887491552633,0.0,0.26135118597257745,0.26376145153454245,242
TabPFN,42,predictive_std,absolute_rank_error,96859,0.12077459537370047,0.0,0.12033442613816142,0.11903134623116601,242
TabPFN,42,predictive_std,rank_instability_next,62823,0.09824285500690143,1.6150281434566324e-134,0.09781228820547697,0.10149014570276368,241
TabPFN,42,predictive_std,realized_forward_ic_deterioration,242,0.02819299072285367,0.6625494572978596,,,242
