model,date,k,actual_fraction,top_precision,bottom_precision,top_mean_return_decimal,bottom_mean_return_decimal,long_short_return_decimal,top_mean_absolute_rank_error,bottom_mean_absolute_rank_error
TabPFN,2022-05-05 09:30:00,20,0.0488997555012225,0.05,0.0,0.003234754349608819,0.0012599009456767322,0.001974853403932087,0.43398533007334955,0.5059902200488997
TabPFN,2022-05-05 09:30:00,40,0.097799511002445,0.125,0.075,-0.0008396498785444622,0.001303458203765024,-0.002143108082309486,0.464119804400978,0.480317848410758
TabPFN,2022-05-06 09:30:00,10,0.02531645569620253,0.2,0.1,0.017990235090682587,-0.005276250555185736,0.02326648564586832,0.310126582278481,0.3845569620253165
TabPFN,2022-05-06 09:30:00,20,0.05063291139240506,0.1,0.2,0.010896137616716501,-0.010136363742275572,0.021032501358992074,0.340379746835443,0.34531645569620256
TabPFN,2022-05-06 09:30:00,40,0.10126582278481013,0.225,0.175,0.007158147742087004,-0.007806817014565084,0.014964964756652089,0.385253164556962,0.3553164556962025
TabPFN,2022-05-09 09:30:00,10,0.025252525252525252,0.1,0.0,-0.01584147644734795,-0.0017841320187911226,-0.014057344428556828,0.6570707070707071,0.4611111111111111
TabPFN,2022-05-09 09:30:00,20,0.050505050505050504,0.1,0.0,-0.009723541772217587,0.0015513781584737961,-0.011274919930691383,0.5904040404040403,0.5117424242424242
TabPFN,2022-05-09 09:30:00,40,0.10101010101010101,0.25,0.15,-0.002408025774483573,-0.00229864366811433,-0.00010938210636924316,0.4941919191919192,0.4116161616161616
TabPFN,2022-05-10 09:30:00,10,0.024390243902439025,0.2,0.2,0.005201266990137258,-0.01495229084429002,0.02015355783442728,0.49731707317073176,0.3495121951219512
TabPFN,2022-05-10 09:30:00,20,0.04878048780487805,0.15,0.25,0.004812545625394859,-0.00832100763077489,0.01313355325616975,0.45231707317073166,0.4225609756097561
TabPFN,2022-05-10 09:30:00,40,0.0975609756097561,0.2,0.175,0.0001730946874082573,-0.004392415111311861,0.004565509798720118,0.4820731707317073,0.43829268292682927
TabPFN,2022-05-11 09:30:00,10,0.024752475247524754,0.0,0.2,-0.006348346599387242,-0.00519185587881711,-0.0011564907205701318,0.4997524752475247,0.4435643564356435
TabPFN,2022-05-11 09:30:00,20,0.04950495049504951,0.05,0.15,-0.0035188649940154524,-0.005464277858574759,0.0019454128645593066,0.47042079207920795,0.425990099009901
TabPFN,2022-05-11 09:30:00,40,0.09900990099009901,0.075,0.2,-0.0027666060733341573,-0.005112990936596151,0.0023463848632619935,0.44888613861386134,0.38496287128712875
TabPFN,2022-05-12 09:30:00,10,0.025510204081632654,0.1,0.0,0.005416828286617572,0.009052816281408613,-0.0036359879947910415,0.4548469387755102,0.6418367346938776
TabPFN,2022-05-12 09:30:00,20,0.05102040816326531,0.05,0.0,-0.0024403370220603487,0.006534135737805477,-0.008974472759865825,0.5269132653061226,0.5751275510204081
TabPFN,2022-05-12 09:30:00,40,0.10204081632653061,0.125,0.125,-0.002963248875897914,0.003361927094034098,-0.006325175969932012,0.5214923469387756,0.5026147959183673
TabPFN,2022-05-13 09:30:00,10,0.023809523809523808,0.1,0.0,-0.005000034261223816,-0.0016352368591012894,-0.0033647974021225263,0.5635714285714286,0.48023809523809524
TabPFN,2022-05-13 09:30:00,20,0.047619047619047616,0.15,0.1,-0.0006087876458910748,0.0028511678240133584,-0.0034599554699044333,0.503095238095238,0.5196428571428571
TabPFN,2022-05-13 09:30:00,40,0.09523809523809523,0.175,0.075,-0.0029574541183071765,0.0016710181016201437,-0.00462847221992732,0.5091666666666667,0.4814285714285715
TabPFN,2022-05-16 09:30:00,10,0.025906735751295335,0.1,0.1,-0.01814173413550264,0.0019414353166154641,-0.020083169452118105,0.6805699481865284,0.5536269430051813
TabPFN,2022-05-16 09:30:00,20,0.05181347150259067,0.2,0.05,-0.004258270114745062,0.003360267379861211,-0.007618537494606273,0.5670984455958549,0.547020725388601
TabPFN,2022-05-16 09:30:00,40,0.10362694300518134,0.175,0.125,-0.008189893685475628,-0.0009732739027516659,-0.007216619782723962,0.555699481865285,0.45569948186528497
TabPFN,2022-05-17 09:30:00,10,0.02506265664160401,0.1,0.1,-0.005473595845752395,-0.0011459053093336227,-0.004327690536418772,0.5629072681704261,0.4120300751879699
TabPFN,2022-05-17 09:30:00,20,0.05012531328320802,0.05,0.05,-0.0019128943475185019,0.0008875850204850711,-0.0028004793680035727,0.47932330827067665,0.42518796992481195
TabPFN,2022-05-17 09:30:00,40,0.10025062656641603,0.075,0.15,-0.004164546811864173,0.0002724917738421465,-0.004437038585706319,0.512593984962406,0.4120927318295739
TabPFN,2022-05-18 09:30:00,10,0.026041666666666668,0.1,0.0,-0.0031259372489492302,0.0012063642916566003,-0.00433230154060583,0.5596354166666666,0.5184895833333334
TabPFN,2022-05-18 09:30:00,20,0.052083333333333336,0.05,0.05,-0.005979573006443182,0.0014513789871183026,-0.007430951993561485,0.5690104166666667,0.4726562500000001
TabPFN,2022-05-18 09:30:00,40,0.10416666666666667,0.025,0.05,-0.008699534768777013,0.0018663497491767642,-0.010565884517953776,0.57265625,0.4692057291666667
TabPFN,2022-05-19 09:30:00,10,0.025974025974025976,0.1,0.1,0.010937216381188077,0.013458207591514944,-0.0025209912103268672,0.42389610389610405,0.5932467532467532
TabPFN,2022-05-19 09:30:00,20,0.05194805194805195,0.15,0.1,0.008740386088422364,0.008415255473077527,0.00032513061534483745,0.4164935064935065,0.5477922077922078
TabPFN,2022-05-19 09:30:00,40,0.1038961038961039,0.125,0.1,0.004628176393883824,0.005014603458186634,-0.00038642706430280956,0.4014285714285715,0.4753896103896104
