model,id,tail_periods,top_periods,bottom_periods,cumulative_signed_contribution_decimal,mean_signed_contribution_decimal
FinPFN,600126.XSHG,32,23,9,0.00011082772306855632,3.463366345892385e-06
FinPFN,600131.XSHG,45,28,17,0.0022475920187660986,4.9946489305913305e-05
FinPFN,600138.XSHG,32,12,20,-0.0016299045518180747,-5.0934517244314834e-05
FinPFN,600141.XSHG,38,15,23,0.005088833288596361,0.00013391666548937792
FinPFN,600143.XSHG,20,14,6,0.002742001182277533,0.00013710005911387663
FinPFN,600153.XSHG,51,23,28,-0.004829246055315745,-9.469109912383813e-05
FinPFN,600155.XSHG,29,22,7,-5.19655006866958e-05,-1.7919138167826139e-06
FinPFN,600157.XSHG,24,21,3,0.0009758715085618472,4.0661312856743634e-05
FinPFN,600158.XSHG,14,7,7,0.001737982640279111,0.00012414161716279364
FinPFN,600160.XSHG,51,34,17,0.005563824086073756,0.00010909458992301483
FinPFN,600161.XSHG,9,7,2,-0.0014227406646183994,-0.00015808229606871103
FinPFN,600166.XSHG,53,25,28,0.005067156630815945,9.560672888331973e-05
FinPFN,600167.XSHG,34,21,13,0.0024864708418464716,7.313149534842564e-05
FinPFN,600170.XSHG,36,25,11,-7.936603590437654e-05,-2.204612108454904e-06
FinPFN,600171.XSHG,29,17,12,-0.000393417564931396,-1.3566122928668828e-05
FinPFN,600177.XSHG,36,29,7,-0.0002076925939209988,-5.769238720027744e-06
FinPFN,600187.XSHG,44,11,33,0.004087240185675679,9.289182240171997e-05
FinPFN,600188.XSHG,27,6,21,-0.002225684346205722,-8.243275356317489e-05
FinPFN,600195.XSHG,37,25,12,-0.000987125474795859,-2.667906688637457e-05
FinPFN,600198.XSHG,33,22,11,0.005651092235276662,0.00017124521925080793
FinPFN,600199.XSHG,61,23,38,-0.005806071595892818,-9.518150157201341e-05
FinPFN,600201.XSHG,32,20,12,0.001035289285103751,3.235279015949222e-05
FinPFN,600208.XSHG,29,20,9,-0.0005638924144212642,-1.944456601452635e-05
FinPFN,600216.XSHG,50,40,10,-0.0021415007549265347,-4.283001509853069e-05
FinPFN,600219.XSHG,15,11,4,-0.0032486364443954346,-0.00021657576295969563
FinPFN,600220.XSHG,48,18,30,0.0035385598639823546,7.371999716629905e-05
FinPFN,600233.XSHG,43,23,20,0.0037363927766685253,8.689285527136105e-05
FinPFN,600236.XSHG,22,15,7,0.00440370879895256,0.0002001685817705709
FinPFN,600251.XSHG,42,8,34,0.00021659026670940671,5.156911112128731e-06
FinPFN,600256.XSHG,60,10,50,0.002717007333749885,4.5283455562498085e-05
FinPFN,600258.XSHG,28,18,10,0.00320585288118236,0.00011449474575651286
FinPFN,600259.XSHG,47,26,21,-0.0020344512566846493,-4.328619695073722e-05
FinPFN,600266.XSHG,15,8,7,-0.001524571412617188,-0.0001016380941744792
FinPFN,600268.XSHG,37,17,20,0.002451638351107731,6.626049597588462e-05
FinPFN,600271.XSHG,36,28,8,0.0008750571245568902,2.4307142348802507e-05
FinPFN,600280.XSHG,51,10,41,-0.002147129373698748,-4.210057595487741e-05
FinPFN,600282.XSHG,36,27,9,-0.0024460147205405554,-6.794485334834876e-05
FinPFN,600292.XSHG,30,18,12,0.000602475563677251,2.00825187892417e-05
FinPFN,600297.XSHG,28,10,18,0.0032192227000037367,0.00011497223928584774
FinPFN,600298.XSHG,32,20,12,-0.0028013128198008186,-8.754102561877558e-05
FinPFN,600299.XSHG,30,20,10,0.0012797066325631397,4.2656887752104656e-05
FinPFN,600307.XSHG,27,23,4,0.0006295855508913873,2.331798336634768e-05
FinPFN,600312.XSHG,22,9,13,-0.0010852257477141829,-4.932844307791741e-05
FinPFN,600315.XSHG,43,22,21,-0.0048948322862923666,-0.00011383330898354341
FinPFN,600316.XSHG,35,20,15,0.001199081015516943,3.4259457586198376e-05
FinPFN,600325.XSHG,50,19,31,0.006503174125959724,0.00013006348251919447
FinPFN,600329.XSHG,44,23,21,0.005520951358862643,0.00012547616724687826
FinPFN,600333.XSHG,35,16,19,0.0003910869085654407,1.1173911673298306e-05
FinPFN,600339.XSHG,39,31,8,-0.0003252134216965545,-8.338805684527038e-06
FinPFN,600348.XSHG,48,12,36,-0.006552811726296336,-0.000136516910964507
FinPFN,600350.XSHG,35,23,12,-0.0011961802479106436,-3.417657851173268e-05
FinPFN,600352.XSHG,12,11,1,-0.0002641371086015179,-2.201142571679316e-05
FinPFN,600372.XSHG,33,12,21,0.004743152839274654,0.00014373190422044404
FinPFN,600373.XSHG,46,36,10,-0.0014640984063073754,-3.182822622407338e-05
FinPFN,600376.XSHG,39,13,26,0.00016366161408614937,4.196451643234599e-06
FinPFN,600377.XSHG,23,12,11,0.00029052835683389394,1.2631667688430171e-05
FinPFN,600378.XSHG,16,0,16,0.00036022072952177135,2.251379559511071e-05
FinPFN,600380.XSHG,36,27,9,0.0005373695906157527,1.4926933072659797e-05
FinPFN,600387.XSHG,15,2,13,0.001356976018143994,9.046506787626628e-05
FinPFN,600388.XSHG,8,5,3,-0.00215685890009653,-0.00026960736251206626
FinPFN,600390.XSHG,41,29,12,-0.0016236936530967744,-3.9602284221872544e-05
FinPFN,600392.XSHG,29,16,13,0.002435901592286158,8.399660663055718e-05
FinPFN,600393.XSHG,31,9,22,-0.003567773947251411,-0.00011508948216940036
FinPFN,600397.XSHG,46,24,22,0.002151797616084682,4.677820904531917e-05
FinPFN,600398.XSHG,26,18,8,0.0015793737759663934,6.074514522947667e-05
FinPFN,600399.XSHG,36,11,25,0.00012823855821124538,3.562182172534594e-06
FinPFN,600403.XSHG,18,7,11,0.0029448263422924828,0.0001636014634606935
FinPFN,600409.XSHG,30,23,7,0.0013326472493500967,4.4421574978336556e-05
FinPFN,600410.XSHG,33,16,17,0.0028399201383415176,8.605818601034902e-05
FinPFN,600415.XSHG,44,28,16,0.006810490805718178,0.0001547838819481404
FinPFN,600418.XSHG,66,17,49,0.008979019756776889,0.00013604575389055892
FinPFN,600425.XSHG,27,23,4,-0.0023593242457212605,-8.73823794711578e-05
FinPFN,600429.XSHG,39,23,16,-2.187946602383477e-05,-5.610119493290966e-07
FinPFN,600433.XSHG,38,23,15,0.0030512061694097647,8.029489919499381e-05
FinPFN,600435.XSHG,37,23,14,-0.003794253517676636,-0.0001025473923696388
FinPFN,600446.XSHG,36,22,14,-0.004751026525353218,-0.0001319729590375894
FinPFN,600460.XSHG,10,4,6,-0.0012509381459296883,-0.00012509381459296882
FinPFN,600466.XSHG,50,14,36,0.004176103745208004,8.352207490416008e-05
FinPFN,600468.XSHG,25,17,8,-0.0016290537727895497,-6.516215091158199e-05
FinPFN,600478.XSHG,48,21,27,5.997550096668885e-05,1.2494896034726843e-06
FinPFN,600482.XSHG,21,14,7,0.0009854770905423393,4.692748050201615e-05
FinPFN,600486.XSHG,39,20,19,-0.0007693662436007239,-1.972733957950574e-05
FinPFN,600487.XSHG,49,19,30,-0.00437618934420161,-8.930998661635938e-05
FinPFN,600489.XSHG,8,7,1,0.000640099874840645,8.001248435508063e-05
FinPFN,600497.XSHG,40,31,9,-0.00406804978313077,-0.00010170124457826925
FinPFN,600498.XSHG,31,25,6,0.002308476357767178,7.446697928281219e-05
FinPFN,600499.XSHG,23,14,9,0.0014393106481511442,6.257872383265844e-05
FinPFN,600500.XSHG,24,16,8,0.0026976800562694674,0.00011240333567789447
FinPFN,600507.XSHG,35,21,14,-0.0007572141670115567,-2.1634690486044477e-05
FinPFN,600509.XSHG,41,17,24,-0.003302613531995716,-8.055154956087112e-05
FinPFN,600511.XSHG,30,18,12,-0.000980508215445369,-3.2683607181512295e-05
FinPFN,600515.XSHG,28,5,23,-0.002505653842306436,-8.948763722522986e-05
FinPFN,600516.XSHG,34,34,0,-0.0006996230427340967,-2.0577148315708727e-05
FinPFN,600517.XSHG,39,29,10,-0.0019669743012089755,-5.043523849253783e-05
FinPFN,600521.XSHG,35,11,24,0.0004866175860700305,1.3903359602000872e-05
FinPFN,600522.XSHG,66,21,45,0.0038307125699855184,5.804109954523513e-05
FinPFN,600525.XSHG,31,22,9,0.00511071611262597,0.0001648618100847087
FinPFN,600528.XSHG,39,36,3,0.0016989010070740797,4.356156428395076e-05
FinPFN,600529.XSHG,35,22,13,0.0032100239615180876,9.171497032908822e-05
FinPFN,600535.XSHG,39,23,16,0.0014556466384722509,3.732427278133976e-05
FinPFN,600536.XSHG,63,13,50,0.0038076316520293464,6.043859765125947e-05
FinPFN,600537.XSHG,52,19,33,0.0009603941612041033,1.8469118484694294e-05
FinPFN,600545.XSHG,44,16,28,0.00600972281650405,0.00013658460946600114
FinPFN,600546.XSHG,60,6,54,-0.002455574271061695,-4.092623785102825e-05
FinPFN,600549.XSHG,32,19,13,0.0012885249807737087,4.0266405649178395e-05
FinPFN,600551.XSHG,46,22,24,-0.0018406272440095602,-4.0013635739338266e-05
FinPFN,600556.XSHG,38,16,22,0.003300926195960922,8.686647884107689e-05
FinPFN,600563.XSHG,36,18,18,-0.0013033004381126914,-3.6202789947574764e-05
FinPFN,600566.XSHG,35,14,21,0.004341836473757595,0.0001240524706787884
FinPFN,600567.XSHG,35,28,7,0.001085094927208022,3.1002712205943484e-05
FinPFN,600572.XSHG,37,34,3,0.0017812962720992831,4.814314248916981e-05
FinPFN,600580.XSHG,26,21,5,-0.000440082805795636,-1.6926261761370616e-05
FinPFN,600582.XSHG,36,22,14,0.0037662175297247403,0.00010461715360346501
FinPFN,600594.XSHG,26,17,9,0.004734240664945837,0.00018208617942099372
FinPFN,600597.XSHG,22,20,2,-0.0008805265387164976,-4.002393357802262e-05
FinPFN,600598.XSHG,48,40,8,-0.00032771184327424433,-6.8273300682134236e-06
FinPFN,600617.XSHG,35,16,19,-0.00368755140154834,-0.00010535861147280971
FinPFN,600623.XSHG,29,20,9,-1.6881436066508982e-05,-5.821184850520339e-07
FinPFN,600628.XSHG,31,9,22,0.0027007456382011075,8.71208270387454e-05
FinPFN,600633.XSHG,59,21,38,-0.004712589353650933,-7.987439582459209e-05
FinPFN,600637.XSHG,30,22,8,0.0007302645092172804,2.434215030724268e-05
FinPFN,600639.XSHG,22,15,7,-0.0031969486900721078,-0.00014531584954873217
FinPFN,600640.XSHG,32,15,17,0.00509011144317182,0.00015906598259911938
FinPFN,600642.XSHG,26,18,8,-0.0007163788997135724,-2.7553034604368167e-05
FinPFN,600643.XSHG,8,8,0,-0.0005478338344414407,-6.847922930518009e-05
FinPFN,600645.XSHG,7,3,4,-0.00013295583659925442,-1.899369094275063e-05
FinPFN,600648.XSHG,28,10,18,0.002334027118752458,8.335811138401636e-05
FinPFN,600649.XSHG,7,2,5,0.00040204647600649906,5.7435210858071294e-05
FinPFN,600651.XSHG,41,25,16,0.002634043507331857,6.424496359345992e-05
FinPFN,600655.XSHG,7,5,2,0.0008157935442139024,0.00011654193488770034
FinPFN,600657.XSHG,23,4,19,0.005278269266092099,0.00022948996809096084
FinPFN,600663.XSHG,32,21,11,-0.003973185117928348,-0.00012416203493526088
FinPFN,600664.XSHG,30,22,8,0.0038812405875255766,0.00012937468625085256
FinPFN,600667.XSHG,31,23,8,-0.0008473940598370519,-2.7335292252808124e-05
FinPFN,600673.XSHG,38,15,23,-0.0022417307124873035,-5.899291348650799e-05
