model,previous_date,date,k,common_assets,cross_date_rank_spearman,mean_absolute_rank_migration,top_overlap_fraction,bottom_overlap_fraction,top_jaccard,bottom_jaccard
FinPFN,2022-03-16 09:30:00,2022-03-17 09:30:00,10,253,0.21543947322790186,0.2925675602882454,0.0,0.1,0.0,0.05263157894736842
FinPFN,2022-03-16 09:30:00,2022-03-17 09:30:00,20,253,0.21543947322790186,0.2925675602882454,0.05,0.1,0.02564102564102564,0.05263157894736842
FinPFN,2022-03-16 09:30:00,2022-03-17 09:30:00,40,253,0.21543947322790186,0.2925675602882454,0.1,0.075,0.05263157894736842,0.03896103896103896
FinPFN,2022-03-17 09:30:00,2022-03-18 09:30:00,10,265,0.15597441287610106,0.2959329140461216,0.0,0.1,0.0,0.05263157894736842
FinPFN,2022-03-17 09:30:00,2022-03-18 09:30:00,20,265,0.15597441287610106,0.2959329140461216,0.05,0.15,0.02564102564102564,0.08108108108108109
FinPFN,2022-03-17 09:30:00,2022-03-18 09:30:00,40,265,0.15597441287610106,0.2959329140461216,0.125,0.175,0.06666666666666667,0.0958904109589041
FinPFN,2022-03-18 09:30:00,2022-03-21 09:30:00,10,250,0.1556910670570729,0.28950367163700497,0.0,0.0,0.0,0.0
FinPFN,2022-03-18 09:30:00,2022-03-21 09:30:00,20,250,0.1556910670570729,0.28950367163700497,0.05,0.05,0.02564102564102564,0.02564102564102564
FinPFN,2022-03-18 09:30:00,2022-03-21 09:30:00,40,250,0.1556910670570729,0.28950367163700497,0.075,0.125,0.03896103896103896,0.06666666666666667
FinPFN,2022-03-21 09:30:00,2022-03-22 09:30:00,10,263,0.08359279967703036,0.3168615961035163,0.0,0.1,0.0,0.05263157894736842
FinPFN,2022-03-21 09:30:00,2022-03-22 09:30:00,20,263,0.08359279967703036,0.3168615961035163,0.0,0.15,0.0,0.08108108108108109
FinPFN,2022-03-21 09:30:00,2022-03-22 09:30:00,40,263,0.08359279967703036,0.3168615961035163,0.025,0.15,0.012658227848101266,0.08108108108108109
FinPFN,2022-03-22 09:30:00,2022-03-23 09:30:00,10,258,0.09731819025095652,0.31875471566086183,0.0,0.0,0.0,0.0
