model,seed,date,portfolio,gross_return_decimal,turnover_one_way,cost_rate_bps_per_one_way_turnover,transaction_cost_decimal,net_return_decimal,gross_compounded_wealth,net_compounded_wealth
FinPFN,42,2022-09-16 09:30:00,short,0.000155728168645786,0.8292682926829265,2,0.0001658536585365853,-1.0125489890799302e-05,1.2114178228517942,1.1761463274997748
FinPFN,42,2022-09-19 09:30:00,short,0.00213271641455168,0.9499999999999987,2,0.00018999999999999974,0.0019427164145516805,1.2140014335274707,1.178431246276123
FinPFN,42,2022-09-20 09:30:00,short,0.006725018539369708,0.8571428571428562,2,0.00017142857142857124,0.006553589967941136,1.2221656156747642,1.1861542014696267
FinPFN,42,2022-09-21 09:30:00,short,-0.00349500337007624,0.8809523809523799,2,0.000176190476190476,-0.003671193846266716,1.2178941427291896,1.181799599464468
FinPFN,42,2022-09-22 09:30:00,short,0.0042609416059807845,0.8717948717948707,2,0.00017435897435897415,0.0040865826316218105,1.2230835185536248,1.1866291211816973
FinPFN,42,2022-09-23 09:30:00,short,-0.000671185968819067,0.8499999999999991,2,0.00016999999999999982,-0.0008411859688190668,1.2222626020572778,1.185630945414767
FinPFN,42,2022-09-26 09:30:00,short,0.00591244677597057,0.853658536585366,2,0.0001707317073170732,0.005741715068653497,1.2294891646382007,1.192438500479917
FinPFN,42,2022-09-27 09:30:00,short,-0.0024418443427380878,0.8292682926829273,2,0.00016585365853658546,-0.0026076980012746734,1.226486943477071,1.1893289809855725
FinPFN,42,2022-09-28 09:30:00,short,0.001106936040894847,0.9024390243902438,2,0.00018048780487804877,0.0009264482360167982,1.2278445860784928,1.19043083272205
FinPFN,42,2022-09-29 09:30:00,short,-0.006212193817694638,0.8999999999999988,2,0.00017999999999999977,-0.006392193817694638,1.2202169775317662,1.182821368112731
FinPFN,42,2022-09-30 09:30:00,short,-0.00045410815612855697,0.8780487804878045,2,0.0001756097560975609,-0.0006297179122261179,1.2196628670500225,1.1820765243102667
