model,seed,portfolio,cost_rate_bps_per_one_way_turnover,n_periods,average_turnover_one_way_including_initial,gross_mean_return_decimal,gross_annualized_volatility_decimal,gross_sharpe,gross_cumulative_arithmetic_return_decimal,gross_terminal_compounded_wealth,gross_maximum_drawdown,net_mean_return_decimal,net_annualized_volatility_decimal,net_sharpe,net_cumulative_arithmetic_return_decimal,net_terminal_compounded_wealth,net_maximum_drawdown,net_sharpe_rank
FinPFN,42,short,20,301,0.8648302556400537,0.0010148982703488602,0.06531279397706964,3.7293701593786097,0.30548437937500694,1.353467155541227,-0.033520521425092986,-0.0007147622409312469,0.06536518267954436,-2.6243778536426037,-0.21514343452030532,0.8042108622399872,-0.19705498064157945,3
LightGBM,42,long,20,301,0.7649698500769382,0.0006563634882545558,0.0611848525254515,2.5746117001028264,0.1975654099646213,1.2155109081783237,-0.01984762791942174,-0.0008735762118993205,0.061136629861101265,-3.4293400099444136,-0.26294643978169546,0.7668984319792949,-0.23623302772379196,1
LightGBM,42,long_short,20,301,1.5516270498384996,0.0018092565532312518,0.09026800648095357,4.81035961359267,0.5445862225226068,1.7143221426412323,-0.039839235738240886,-0.0012939975464457472,0.09011481703962111,-3.446263570733707,-0.38949326148016994,0.6737905999112551,-0.3292947272091823,2
LightGBM,42,short,20,301,0.7866571997615615,0.0011528930649766958,0.0655621620559956,4.220335738136378,0.34702081255798545,1.410775556714618,-0.029524740785727643,-0.00042042133454642694,0.06544768685997572,-1.541706439633517,-0.1265468216984745,0.8787509605630204,-0.14191086905761274,2
Ridge,42,long,20,301,0.729183252225294,0.0005544671857651703,0.062041638360537575,2.144884114928261,0.16689462291531626,1.1787379344847986,-0.03372264486296972,-0.0009038993186854179,0.06203179575684722,-3.497171633316039,-0.27207369492431077,0.7598707072230837,-0.24604795428090254,2
Ridge,42,long_short,20,301,1.4788131854046738,0.0018756315563346615,0.09207526414530302,4.888952290269178,0.5645650984567331,1.7484930986489537,-0.05030716084696407,-0.0010819948144746856,0.09198309101130475,-2.823114037796468,-0.3256804391568804,0.7180910792523761,-0.2976541905486013,1
Ridge,42,short,20,301,0.7496299331793796,0.001321164370569491,0.0660511769099694,4.800511720917113,0.39767047554141677,1.4839224561789486,-0.026197844270593018,-0.00017809549578926814,0.06616815217786345,-0.6459741972925156,-0.05360674423256971,0.9452097529191482,-0.09296886879388733,1
TabPFN,42,long,20,301,0.9108361188323566,-0.001218170662615934,0.06501854119054531,-4.496578263283735,-0.36666936944739614,0.6910517280625416,-0.32148085597408604,-0.0030398429002806474,0.06484751348745572,-11.250428225108182,-0.9149927129844748,0.3989059200093996,-0.6017975518890273,4
TabPFN,42,long_short,20,301,1.8271595772286087,-0.001940797037359147,0.08970172641590679,-5.192668051967354,-0.5841799082451032,0.5544418872897383,-0.4655750017397804,-0.005595116191816364,0.08944195310529052,-15.01340075227515,-1.6841299737367255,0.18379899889720766,-0.8178046965317026,4
TabPFN,42,short,20,301,0.916323458396252,-0.0007226263747432129,0.05914429704506531,-2.932325492113381,-0.21751053879770707,0.802696672892551,-0.22043154617578564,-0.0025552732915357164,0.0591245639358219,-10.372433201101577,-0.7691372607522506,0.461941315618926,-0.5412815705779443,4
