model,prediction_percentile_bin,n_asset_dates,mean_prediction_rank,mean_prediction,mean_raw_return_decimal,median_raw_return_decimal,mean_realized_rank,mean_absolute_rank_error,mean_signed_prediction_return_decimal
Ridge,12,3575,0.575,1.1765662569933004,0.010703967132867096,0.006645,0.5034358041958041,0.24341762237762238,0.01059071286713283
Ridge,13,3575,0.625,1.3050956650380487,0.013521640671328642,0.009611,0.5137854545454545,0.2456481118881119,0.013521640671328642
Ridge,14,3575,0.675,1.4386465000939537,0.011358077376223744,0.007062000000000001,0.5048455944055944,0.26845146853146856,0.011358077376223744
Ridge,15,3575,0.725,1.5829510110908456,0.009065895278321648,0.008333,0.5028847552447553,0.2898500699300699,0.009065895278321648
Ridge,16,3575,0.775,1.7384997344183755,0.010046116755244725,0.006321,0.5037938461538461,0.318819020979021,0.010046116755244725
Ridge,17,3575,0.825,1.921731759851629,0.016960754265734228,0.009804,0.5172937062937063,0.33898125874125873,0.016960754265734228
Ridge,18,3575,0.875,2.1493369916102267,0.015322570366433532,0.010719000000000001,0.5169144055944056,0.37423999999999996,0.015322570366433532
Ridge,19,3575,0.925,2.466189904913202,0.014545710131468494,0.007905,0.5121826573426573,0.4188313286713287,0.014545710131468494
Ridge,20,3575,0.975,3.1249962040427683,0.019472836279720226,0.009408,0.5173356643356644,0.4587507692307692,0.019472836279720226
TabPFN,1,3575,0.025,-1.4911781415405807,0.006059566030769085,-0.009091,0.4709255944055944,0.4482786013986014,-0.006059566030769085
TabPFN,2,3575,0.075,-0.7881060107021065,0.005880267446153779,0.002392,0.4871890909090909,0.42218517482517487,-0.005880267446153779
TabPFN,3,3575,0.125,-0.5380088570443067,0.0074230396979020445,0.003469,0.489504055944056,0.3842187412587413,-0.0074230396979020445
TabPFN,4,3575,0.175,-0.40226991208700036,0.009252638993006965,0.004729,0.5004433566433567,0.35945846153846156,-0.009252638993006965
TabPFN,5,3575,0.225,-0.311852777164716,0.011162160822377584,0.005857,0.5012696503496503,0.32167608391608393,-0.011162160822377584
TabPFN,6,3575,0.275,-0.243084131470927,0.014556515854545427,0.0074670000000000005,0.5128455944055944,0.30193062937062937,-0.014556515854545427
TabPFN,7,3575,0.325,-0.18839429939413196,0.010359095809790185,0.008006,0.5059057342657343,0.2735088111888112,-0.010430818327272703
TabPFN,8,3575,0.375,-0.13836645081636034,0.014483934288111868,0.009248,0.5183303496503496,0.2549387412587412,-0.014279749113286694
TabPFN,9,3575,0.425,-0.09185956645493194,0.009209823149650338,0.007396000000000001,0.5056668531468531,0.2380744055944056,-0.007537737432167823
TabPFN,10,3575,0.475,-0.04830668711158857,0.007357519530069921,0.007722,0.5004903496503497,0.23079944055944054,-0.003623313655944047
TabPFN,11,3575,0.525,-0.004799480513389502,0.008091324464335638,0.007647,0.49978993006993006,0.22873230769230768,0.0015690929902097874
TabPFN,12,3575,0.575,0.03894051820212337,0.012006406987412574,0.010989,0.5145362237762238,0.23408727272727273,0.005189698925874122
TabPFN,13,3575,0.625,0.08613685165610087,0.014758882355244739,0.009615,0.5161250349650349,0.2400704895104895,0.011880431759440549
TabPFN,14,3575,0.675,0.13486502247540136,0.010371938142657322,0.008122,0.5061848951048952,0.26259076923076924,0.009451333946853128
TabPFN,15,3575,0.725,0.18913605040577533,0.011231536430769205,0.008669,0.5093446153846154,0.2815138461538461,0.011231536430769205
TabPFN,16,3575,0.775,0.2535360178726536,0.013895568593006953,0.008986,0.5101367832167832,0.31201958041958044,0.013895568593006953
TabPFN,17,3575,0.825,0.33628686114207845,0.007752998282517463,0.0070420000000000005,0.49774573426573426,0.3535121678321678,0.007752998282517463
TabPFN,18,3575,0.875,0.4586312158166112,0.007149348179020953,0.005803,0.4950486713286713,0.39385006993007,0.007149348179020953
TabPFN,19,3575,0.925,0.690480140672697,0.005934448811188774,0.003401,0.4836864335664336,0.44780419580419584,0.005934448811188774
TabPFN,20,3575,0.975,1.5193214660757905,0.005759161952447464,-0.001991,0.47483104895104894,0.5015351048951049,0.005759161952447464
