model,seed,uncertainty_signal,uncertainty_quantile,n_asset_dates,mean_absolute_cross_sectional_z_error,mean_absolute_rank_error,mean_next_rank_instability,predicted_tail_count,tail_selection_precision
TabPFN,42,mean_median_disagreement,1,19274,0.9123781015705836,0.3207805258890996,0.3181431513955673,3059,0.11801242236024845
TabPFN,42,mean_median_disagreement,2,19360,0.8780979028803796,0.31495215549156913,0.31371979272151257,2720,0.11691176470588235
TabPFN,42,mean_median_disagreement,3,19390,0.9115055512034919,0.3183039553173522,0.3159422313387014,2837,0.12689460697920338
TabPFN,42,mean_median_disagreement,4,19360,0.995877300352404,0.3365655491829746,0.3307946571718498,3689,0.1366223908918406
TabPFN,42,mean_median_disagreement,5,19475,1.425173342160257,0.3831320793548192,0.37543571751607896,7062,0.16326819597847636
TabPFN,42,predictive_interval_width,1,19274,0.7662061679205142,0.29983640086258656,0.3062714625877746,2540,0.07007874015748032
TabPFN,42,predictive_interval_width,2,19360,0.8094818927645192,0.3054066738167726,0.30356251240980003,2292,0.0868237347294939
TabPFN,42,predictive_interval_width,3,19390,0.8740658149334786,0.3156140255620998,0.31439791752386975,2451,0.10199918400652795
TabPFN,42,predictive_interval_width,4,19360,1.0214064139282801,0.338347469047792,0.3318154542505231,3444,0.12833914053426249
TabPFN,42,predictive_interval_width,5,19475,1.6499454424149982,0.41425594894950735,0.39751117505649847,8640,0.1883101851851852
TabPFN,42,predictive_std,1,19274,0.75227596507367,0.2977230342057422,0.303780873646893,2487,0.06513872135102533
TabPFN,42,predictive_std,2,19360,0.8007649300684152,0.3047604005412932,0.3039727999355821,2256,0.08599290780141844
TabPFN,42,predictive_std,3,19390,0.8668610248100317,0.315077272430936,0.3124729470020058,2371,0.10164487557992408
TabPFN,42,predictive_std,4,19360,1.0362918838467334,0.34283628768796426,0.33606051716187574,3458,0.12434933487565067
TabPFN,42,predictive_std,5,19475,1.664773134858594,0.4130620590340687,0.397367347920297,8795,0.18976691301876067
