date,decile_1,decile_2,decile_3,decile_4,decile_5,decile_6,decile_7,decile_8,decile_9,decile_10,long_short,model,seed,return_basis
2015-08-31,-8.423338,-4.21791956000001,-5.518594,-4.457284,-5.570454,-6.6975739999999995,-6.260282,-3.2041679999999997,-6.147848,-5.016051999999999,3.407286,LightGBM,42,raw
2015-09-30,-11.414738,-5.213592,-4.3164240000000005,-4.668068,-6.05058,-3.737748,-7.311384,-2.834246,-6.7864059999999995,-6.639546,4.775192,LightGBM,42,raw
2015-10-31,4.036616,4.940508,6.0338,8.134356439999989,3.8563940000000003,3.7233940000000003,8.079192,7.642100879999979,7.8965,4.374888,0.3382719999999999,LightGBM,42,raw
2015-11-30,3.855048439999989,-0.47709356000001063,-2.3246139999999995,1.537942439999989,0.860798,2.458662,0.7187360000000002,-0.2802820000000001,1.869732,-1.5118491200000215,-5.366897560000011,LightGBM,42,raw
2015-12-31,-6.080585560000011,-0.5697200000000001,-6.667502000000001,-3.7596600000000002,-3.465372,-3.7741655600000104,1.2239504399999892,-4.206582,-5.253038,-2.1389259999999997,3.9416595600000113,LightGBM,42,raw
2016-01-31,-16.41622,-3.2845660000000003,-5.16993156000001,-6.596228,-9.613261999999999,-8.07577,-6.292896,-7.454060000000001,-6.605224,-6.999091999999999,9.417128,LightGBM,42,raw
2016-02-29,-4.306972,0.975108439999989,1.41498,0.18241243999998907,0.980674,0.9828024399999893,4.333588,0.847048,2.6718900000000003,3.8707208799999786,8.177692879999979,LightGBM,42,raw
2016-03-31,13.885554199999946,9.307496,7.755104,8.46131843999999,8.132956439999989,5.251426,8.36716643999999,7.478432000000001,6.205062000000001,4.705886879999979,-9.179667319999968,LightGBM,42,raw
2016-04-30,11.376492199999946,5.574164,6.65807,3.1976959999999996,1.274616,3.976688,2.446806,3.760726,3.2643959999999996,5.235474,-6.141018199999946,LightGBM,42,raw
2016-05-31,0.3322920000000007,-3.942756,-0.28763600000000006,2.721812,2.0689464399999893,1.0240120000000001,-0.4582440000000001,2.0015680000000002,-3.400328,0.8521804399999893,0.5198884399999886,LightGBM,42,raw
2016-06-30,-0.6764975600000105,1.335172,2.5177724399999892,2.272148,-2.449356,0.15085199999999996,3.155724,2.302572439999989,1.2756624399999894,-1.4447315600000108,-0.7682340000000003,LightGBM,42,raw
2016-07-31,9.515534439999989,4.140154,3.7582679999999997,3.580708,4.191826,4.10711843999999,6.47495,4.888668,7.013392,6.7933140000000005,-2.7222204399999885,LightGBM,42,raw
2016-08-31,3.6582044399999893,0.10690399999999997,0.8798964399999892,1.4806320000000002,0.3743840000000001,1.578506,2.3511664399999894,1.331774,1.1072,3.979666,0.3214615600000106,LightGBM,42,raw
2016-09-30,5.195452,0.338084,0.7642679999999998,-0.5565740000000001,2.492962,3.273258,1.9434264399999892,1.9540419999999998,0.440364,0.10338200000000006,-5.0920700000000005,LightGBM,42,raw
2016-10-31,-9.956179560000011,-7.446506,-4.92828,-3.2707275600000103,-3.9235219999999997,-2.935792,-2.82673,-2.04131,-2.857454,-6.126574000000001,3.8296055600000107,LightGBM,42,raw
2016-11-30,8.642762879999978,1.823468,0.610372,2.7079720000000003,7.2145,7.701410439999989,7.333214439999989,7.349944000000001,8.595786439999989,7.9916233199999684,-0.6511395600000096,LightGBM,42,raw
2016-12-31,-3.1024080000000005,0.702234,5.1080104399999895,1.3574919999999997,1.6805080000000001,0.3873520000000001,1.018688,1.5630979999999999,1.6496820000000003,0.756258,3.8586660000000004,LightGBM,42,raw
